"id","category","denominazione_regione","date","_x","_y","s_x","s_y","b_x","b_y","c_x","c_y"
"Emil-tera-0","terapia_intensiva","Emilia Romagna","2020-02-25",-224.55,-430.431,0.128,0.599,-221.543,-428.83,-221.543,-428.83
"Emil-tera-1","terapia_intensiva","Emilia Romagna","2020-02-25",-224.55,-430.431,0.045,0.113,-225.081,-425.297,-225.081,-425.297
"Emil-rico-0","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.239,0.379,-222.834,-433.66,-222.834,-433.66
"Emil-rico-1","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.338,0.415,-220.253,-424,-220.253,-424
"Emil-rico-2","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.196,0.46,-226.371,-430.127,-226.371,-430.127
"Emil-rico-3","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.374,0.123,-218.006,-432.363,-218.006,-432.363
"Emil-rico-4","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.269,0.438,-223.791,-420.467,-223.791,-420.467
"Emil-rico-5","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.42,0.662,-227.663,-434.957,-227.663,-434.957
"Emil-rico-6","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.432,0.296,-216.715,-427.534,-216.715,-427.534
"Emil-rico-7","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.259,0.039,-229.909,-426.594,-229.909,-426.594
"Emil-rico-8","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.481,0.716,-219.297,-437.193,-219.297,-437.193
"Emil-rico-9","ricoverati_con_sintomi","Emilia Romagna","2020-02-25",-224.55,-430.431,0.206,0.377,-218.963,-419.169,-218.963,-419.169
