"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-02-27",1010.38,897.139,0.121,0.858,1011.014,897.931,1011.014,897.931
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-02-27",1447.394,1663.99,0.366,0.522,1444.896,1665.319,1444.896,1665.319
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-02-27",1447.394,1663.99,0.294,0.623,1448.064,1661.45,1448.064,1661.45
"Camp-isol-0","isolamento_domiciliare","Campania","2020-02-27",1447.394,1663.99,0.761,0.173,1449.831,1666.127,1449.831,1666.127
"Emil-dece-0","deceduti","Emilia Romagna","2020-02-27",-224.55,-430.431,0.026,0.251,-224.031,-428.363,-224.031,-428.363
"Emil-tera-0","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,0.034,0.36,-217.938,-430.558,-217.938,-430.558
"Emil-tera-1","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,0.056,0.413,-223.867,-423.254,-223.867,-423.254
"Emil-tera-2","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,0.035,0.7,-225.909,-432.997,-225.909,-432.997
"Emil-tera-3","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,0.087,0.518,-219.589,-425.84,-219.589,-425.84
"Emil-tera-4","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,0.107,0.109,-228.786,-424.137,-228.786,-424.137
"Emil-tera-5","terapia_intensiva","Emilia Romagna","2020-02-27",-224.55,-430.431,0.087,0.024,-221.115,-434.408,-221.115,-434.408
"Emil-rico-0","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.291,0.752,-220.121,-419.945,-220.121,-419.945
"Emil-rico-1","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.165,0.71,-229.072,-429.128,-229.072,-429.128
"Emil-rico-2","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.148,0.093,-214.216,-427.23,-214.216,-427.23
"Emil-rico-3","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.215,0.116,-228.504,-419.147,-228.504,-419.147
"Emil-rico-4","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.448,0.224,-224.499,-438.085,-224.499,-438.085
"Emil-rico-5","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.121,0.296,-215.848,-422.523,-215.848,-422.523
"Emil-rico-6","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.413,0.375,-233.252,-426.385,-233.252,-426.385
"Emil-rico-7","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.141,0.599,-216.242,-435.514,-216.242,-435.514
"Emil-rico-8","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.348,0.98,-224.052,-416.87,-224.052,-416.87
"Emil-rico-9","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.275,0.383,-229.29,-436.678,-229.29,-436.678
"Emil-rico-10","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.262,0.179,-210.937,-423.451,-210.937,-423.451
"Emil-rico-11","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.181,0.848,-232.967,-421.396,-232.967,-421.396
"Emil-rico-12","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.203,0.398,-219.627,-439.185,-219.627,-439.185
"Emil-rico-13","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.369,0.194,-215.7,-417.533,-215.7,-417.533
"Emil-rico-14","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.327,0.997,-233.539,-431.374,-233.539,-431.374
"Emil-rico-15","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.404,0.628,-212.712,-431.978,-212.712,-431.978
"Emil-rico-16","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.263,0.004,-228.237,-414.138,-228.237,-414.138
"Emil-rico-17","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.165,0.909,-227.89,-441.759,-227.89,-441.759
"Emil-rico-18","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.114,0.345,-207.507,-419.813,-207.507,-419.813
"Emil-rico-19","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.385,0.938,-237.432,-423.643,-237.432,-423.643
"Emil-rico-20","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.332,0.79,-214.751,-440.285,-214.751,-440.285
"Emil-rico-21","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.186,0.217,-219.298,-414.07,-219.298,-414.07
"Emil-rico-22","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.429,0.722,-234.273,-436.318,-234.273,-436.318
"Emil-rico-23","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.35,0.088,-209.336,-428.298,-209.336,-428.298
"Emil-rico-24","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.457,0.199,-232.689,-416.405,-232.689,-416.405
"Emil-rico-25","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.26,0.022,-223.015,-442.859,-223.015,-442.859
"Emil-rico-26","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.319,0.093,-210.902,-416.146,-210.902,-416.146
"Emil-rico-27","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.422,0.879,-237.719,-428.632,-237.719,-428.632
"Emil-rico-28","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.343,0.207,-211.221,-436.746,-211.221,-436.746
"Emil-rico-29","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.195,0.422,-223.787,-411.876,-223.787,-411.876
"Emil-rico-30","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.142,0.001,-232.843,-441.103,-232.843,-441.103
"Emil-rico-31","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.293,0.813,-205.999,-424.576,-205.999,-424.576
"Emil-rico-32","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.227,0.203,-237.153,-418.654,-237.153,-418.654
"Emil-rico-33","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.261,0.083,-218.139,-443.959,-218.139,-443.959
"Emil-rico-34","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.2,0.692,-214.5,-412.676,-214.5,-412.676
"Emil-rico-35","ricoverati_con_sintomi","Emilia Romagna","2020-02-27",-224.55,-430.431,0.161,0.9,-238.449,-433.579,-238.449,-433.579
"Emil-isol-0","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.636,0.309,-207.829,-433.063,-207.829,-433.063
"Emil-isol-1","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.79,0.438,-232.418,-411.398,-232.418,-411.398
"Emil-isol-2","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.537,0.465,-226.405,-446.534,-226.405,-446.534
"Emil-isol-3","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.837,0.633,-206.027,-415.037,-206.027,-415.037
"Emil-isol-4","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.822,0.038,-241.899,-425.889,-241.899,-425.889
"Emil-isol-5","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.506,0.154,-209.732,-441.517,-209.732,-441.517
"Emil-isol-6","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.716,0.521,-222.597,-407.02,-222.597,-407.02
"Emil-isol-7","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.601,0.674,-238.741,-438.568,-238.741,-438.568
"Emil-isol-8","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.907,0.061,-204.453,-429.377,-204.453,-429.377
"Emil-isol-9","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.612,0.225,-236.873,-413.664,-236.873,-413.664
"Emil-isol-10","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.734,0.119,-221.528,-447.633,-221.528,-447.633
"Emil-isol-11","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.865,0.145,-209.697,-411.293,-209.697,-411.293
"Emil-isol-12","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.817,0.901,-242.625,-430.833,-242.625,-430.833
"Emil-isol-13","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.721,0.991,-206.34,-437.836,-206.34,-437.836
"Emil-isol-14","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.817,0.425,-227.964,-409.131,-227.964,-409.131
"Emil-isol-15","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.647,0.467,-231.36,-445.877,-231.36,-445.877
"Emil-isol-16","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.857,0.831,-202.625,-420.886,-202.625,-420.886
"Emil-isol-17","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.764,0.954,-241.618,-420.901,-241.618,-420.901
"Emil-isol-18","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.88,0.12,-213.261,-445.058,-213.261,-445.058
"Emil-isol-19","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.769,0.512,-218.105,-409.213,-218.105,-409.213
"Emil-isol-20","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.81,0.095,-243.208,-440.815,-243.208,-440.815
"Emil-isol-21","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.924,0.086,-199.571,-430.457,-199.571,-430.457
"Emil-isol-22","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.887,0.052,-236.61,-408.671,-236.61,-408.671
"Emil-isol-23","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.721,0.873,-224.919,-451.308,-224.919,-451.308
"Emil-isol-24","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.565,0.95,-204.821,-410.184,-204.821,-410.184
"Emil-isol-25","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.919,0.491,-246.795,-428.076,-246.795,-428.076
"Emil-isol-26","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.707,0.725,-204.852,-442.61,-204.852,-442.61
"Emil-isol-27","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.923,0.378,-226.775,-404.274,-226.775,-404.274
"Emil-isol-28","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.672,0.478,-237.305,-443.357,-237.305,-443.357
"Emil-isol-29","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.524,0.403,-201.116,-425.653,-201.116,-425.653
"Emil-isol-30","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.846,0.584,-241.338,-415.91,-241.338,-415.91
"Emil-isol-31","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.847,0.543,-216.652,-448.733,-216.652,-448.733
"Emil-isol-32","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.701,0.966,-213.296,-407.823,-213.296,-407.823
"Emil-isol-33","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.611,0.505,-242.919,-435.824,-242.919,-435.824
"Emil-isol-34","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.848,0.047,-202.947,-434.144,-202.947,-434.144
"Emil-isol-35","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.677,0.094,-232.155,-406.405,-232.155,-406.405
"Emil-isol-36","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.845,0.431,-229.875,-450.651,-229.875,-450.651
"Emil-isol-37","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.751,0.248,-201.143,-416.11,-201.143,-416.11
"Emil-isol-38","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.683,0.7,-246.094,-423.125,-246.094,-423.125
"Emil-isol-39","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.695,0.341,-208.244,-446.292,-208.244,-446.292
"Emil-isol-40","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.824,0.755,-221.395,-402.166,-221.395,-402.166
"Emil-isol-41","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.734,0.243,-241.772,-445.604,-241.772,-445.604
"Emil-isol-42","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.682,0.615,-196.234,-426.734,-196.234,-426.734
"Emil-isol-43","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.922,1,-241.076,-410.917,-241.076,-410.917
"Emil-isol-44","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.758,0.2,-220.042,-452.408,-220.042,-452.408
"Emil-isol-45","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.69,0.8,-208.491,-406.44,-208.491,-406.44
"Emil-isol-46","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.634,0.879,-247.096,-433.074,-247.096,-433.074
"Emil-isol-47","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.878,0.775,-201.458,-438.918,-201.458,-438.918
"Emil-isol-48","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.877,0.832,-230.967,-401.548,-230.967,-401.548
"Emil-isol-49","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.823,0.071,-235.823,-448.133,-235.823,-448.133
"Emil-isol-50","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.859,0.139,-197.742,-421.963,-197.742,-421.963
"Emil-isol-51","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.603,0.159,-245.816,-418.133,-245.816,-418.133
"Emil-isol-52","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.542,0.718,-211.774,-449.833,-211.774,-449.833
"Emil-isol-53","isolamento_domiciliare","Emilia Romagna","2020-02-27",-224.55,-430.431,0.754,0.489,-216.902,-404.36,-216.902,-404.36
"Lazi-dime-0","dimessi_guariti","Lazio","2020-02-27",555.941,1059.757,0.953,0.138,554.418,1058.691,554.418,1058.691
"Lazi-dime-1","dimessi_guariti","Lazio","2020-02-27",555.941,1059.757,0.951,0.403,559.231,1060.046,559.231,1060.046
"Lazi-dime-2","dimessi_guariti","Lazio","2020-02-27",555.941,1059.757,0.991,0.126,555.651,1063.537,555.651,1063.537
"Ligu-rico-0","ricoverati_con_sintomi","Liguria","2020-02-27",-1136.01,-274.121,0.416,0.057,-1137.59,-278.789,-1137.59,-278.789
"Ligu-rico-1","ricoverati_con_sintomi","Liguria","2020-02-27",-1136.01,-274.121,0.232,0.082,-1135.174,-269.085,-1135.174,-269.085
"Ligu-rico-2","ricoverati_con_sintomi","Liguria","2020-02-27",-1136.01,-274.121,0.344,0.118,-1139.979,-270.465,-1139.979,-270.465
"Ligu-rico-3","ricoverati_con_sintomi","Liguria","2020-02-27",-1136.01,-274.121,0.234,0.533,-1136.382,-273.937,-1136.382,-273.937
"Ligu-rico-4","ricoverati_con_sintomi","Liguria","2020-02-27",-1136.01,-274.121,0.398,0.378,-1138.772,-265.614,-1138.772,-265.614
