"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.266,0.627,1022.725,908.44,1022.725,908.44
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.391,0.035,1018.915,911.677,1018.915,911.677
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.367,0.397,1021.826,903.522,1021.826,903.522
"Abru-rico-3","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.177,0.647,1023.624,913.358,1023.624,913.358
"Abru-rico-4","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.488,0.863,1018.016,906.76,1018.016,906.76
"Abru-rico-5","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.354,0.838,1026.535,905.202,1026.535,905.202
"Abru-rico-6","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.394,0.01,1019.814,916.596,1019.814,916.596
"Abru-rico-7","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.312,0.292,1017.117,901.841,1017.117,901.841
"Abru-rico-8","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.33,0.915,1027.434,910.12,1027.434,910.12
"Abru-rico-9","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.587,0.962,1014.206,909.997,1014.206,909.997
"Abru-rico-10","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.324,0.816,1025.636,900.284,1025.636,900.284
"Abru-rico-11","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.147,0.322,1024.523,918.276,1024.523,918.276
"Abru-rico-12","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.421,0.255,1013.307,905.079,1013.307,905.079
"Abru-rico-13","ricoverati_con_sintomi","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.281,0.776,1031.244,906.883,1031.244,906.883
"Abru-isol-0","isolamento_domiciliare","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.723,0.402,1015.105,914.915,1015.105,914.915
"Abru-isol-1","isolamento_domiciliare","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.637,0.729,1020.927,898.603,1020.927,898.603
"Abru-isol-2","isolamento_domiciliare","Abruzzo","2020-03-08",1010.38,897.139,1010.38,897.139,0.624,0.138,1028.333,915.039,1028.333,915.039
"Basi-rico-0","ricoverati_con_sintomi","Basilicata","2020-03-08",2176.076,1795.534,2176.076,1795.534,0.603,0.833,2180.456,1804.061,2180.456,1804.061
"Basi-rico-1","ricoverati_con_sintomi","Basilicata","2020-03-08",2176.076,1795.534,2176.076,1795.534,0.454,0.035,2186.94,1801.371,2186.94,1801.371
"Basi-isol-0","isolamento_domiciliare","Basilicata","2020-03-08",2176.076,1795.534,2176.076,1795.534,0.661,0.489,2185.062,1806.005,2185.062,1806.005
"Basi-isol-1","isolamento_domiciliare","Basilicata","2020-03-08",2176.076,1795.534,2176.076,1795.534,0.693,0.595,2182.333,1799.427,2182.333,1799.427
"Cala-rico-0","ricoverati_con_sintomi","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.248,0.536,2228.32,2593.082,2228.32,2593.082
"Cala-rico-1","ricoverati_con_sintomi","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.223,0.88,2219.81,2594.689,2219.81,2594.689
"Cala-rico-2","ricoverati_con_sintomi","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.197,0.029,2227.392,2588.169,2227.392,2588.169
"Cala-rico-3","ricoverati_con_sintomi","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.212,0.309,2229.247,2597.995,2229.247,2597.995
"Cala-rico-4","ricoverati_con_sintomi","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.453,0.983,2223.601,2591.429,2223.601,2591.429
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.806,0.063,2232.111,2589.822,2232.111,2589.822
"Cala-isol-1","isolamento_domiciliare","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.771,0.501,2224.529,2596.342,2224.529,2596.342
"Cala-isol-2","isolamento_domiciliare","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.78,0.355,2222.674,2586.516,2222.674,2586.516
"Cala-isol-3","isolamento_domiciliare","Calabria","2020-03-08",2221.402,2586.067,2221.402,2586.067,0.894,0.212,2233.038,2594.735,2233.038,2594.735
"Camp-tera-0","terapia_intensiva","Campania","2020-03-08",1447.394,1663.99,1447.394,1663.99,0.091,0.745,1452.798,1674.274,1452.798,1674.274
"Camp-tera-1","terapia_intensiva","Campania","2020-03-08",1447.394,1663.99,1447.394,1663.99,0.069,0.257,1455.533,1670.089,1455.533,1670.089
"Camp-tera-2","terapia_intensiva","Campania","2020-03-08",1447.394,1663.99,1447.394,1663.99,0.087,0.559,1455.055,1678.734,1455.055,1678.734
"Camp-tera-3","terapia_intensiva","Campania","2020-03-08",1447.394,1663.99,1447.394,1663.99,0.09,0.597,1450.536,1669.816,1450.536,1669.816
"Camp-tera-4","terapia_intensiva","Campania","2020-03-08",1447.394,1663.99,1447.394,1663.99,0.114,0.144,1457.79,1674.55,1457.79,1674.55
"Camp-tera-5","terapia_intensiva","Campania","2020-03-08",1447.394,1663.99,1447.394,1663.99,0.112,0.15,1450.066,1678.462,1450.066,1678.462
"Camp-tera-6","terapia_intensiva","Campania","2020-03-08",1447.394,1663.99,1447.394,1663.99,0.099,0.072,1453.925,1665.356,1453.925,1665.356
