"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","lon","center_x","center_y","r","index","x","y","vy","vx"
"Abruzzo","42.216666666667","25","0","5","0","0","13","30","13.833333333333",458.124498303482,481.1420501172729,33.8886042793149,0,548.2988622478423,751.2635902930127,-0.002107219723859598,0.0067284435048949294
"Basilicata","40.5","2","0","3","0","0","17","5","16.5",631.7883003522712,615.6439377639663,13.834964763236659,1,672.3032672748252,667.187505678983,-0.005758208458123714,0.023669208818939465
"Calabria","39","8","0","1","2","0","18","11","16.5",638.5478900533218,733.5385737316155,20.520568949227503,2,736.4499608698104,728.9255452375573,-0.0038204265328424993,0.008984932013251595
"Campania","40.75","42","8","69","1","0","15","120","14.783333333333",523.3260209727315,596.0262438126024,67.7772085586298,3,649.6641302763041,745.1956747117367,-0.0012095398919426132,0.009474365353580573
"Emilia-Romagna","44.75","576","90","620","30","70","08","1386","11",273.7755526126515,283.67879560051733,230.3428151690432,4,-281.570423472275,192.73387664613549,0.0038961290302953755,-0.00010460233348000419
"Friuli Venezia Giulia","46.1","18","1","70","3","1","06","93","13.116666666667",397.94445344900134,179.05170714910764,59.66704492431312,5,521.7023882607205,-220.20292632351246,-0.0016040942182933295,-0.0038843744267151458
"Lazio","41.9","55","8","31","3","5","12","102","12.716666666667",389.96527268662,505.9151039834651,62.48749874974993,6,395.7289594098884,802.6791127842764,-0.00012542566212290446,0.0015916129065159659
"Liguria","44.45","60","17","20","5","7","07","109","8.7666666666667",137.64188625782947,306.98980046466886,64.59610088852112,7,-47.18732261344885,13.774886204012558,0.0011858202711756568,-0.0008130743003083904
"Lombardia","45.65","2802","440","1248","646","333","03","5469","9.95",206.55634157536247,213.87614012509903,457.5589101416341,8,400.4501121789059,282.6125857296889,-0.0007009940789230875,0.0001351248596198169
"Marche","43.316666666667","136","47","130","0","10","11","323","13",402.13851075247965,395.2363069295466,111.1973189874648,9,99.4187928712163,765.1790435236494,-0.0049445529184597966,-0.006421022943502993
"Molise","41.6997","4","2","8","0","0","14","14","14.6111",508.6091735149422,521.5939880792921,23.150323971815165,10,758.8346701660325,602.9681783569388,-0.015885519904984404,0.014152229960007267
"Piemonte","45.25","222","50","65","0","13","01","350","7.9166666666667",83.45401674780715,244.87483380474941,115.75161985907583,11,-128.70087647179355,503.264450092847,0.0024599188890089174,0.0015204172028418352
"Puglia","41.008611111111","20","6","20","1","3","16","50","16.512777777778",630.2278965217012,575.7430948182009,43.75,12,729.3758349237052,663.0333925592183,-0.007467549632575619,0.031309613450468524
"Sardegna","40.05","8","0","11","0","0","20","19","9.0833333333333",168.79296369929818,650.9794213715627,26.969311262989272,13,317.4112974968227,759.9419072485529,-0.0007633518501702466,-0.004186506051245087
"Sicilia","37.599958333333","19","0","33","2","0","19","54","14.015377777778",487.1812958869277,843.8301353652855,45.46633369868303,14,493.7068916623343,847.9680907200409,0.0005839569195801001,0.0016389151999963592
"Toscana","43.35","107","9","90","1","1","09","208","11.016666666667",279.53323598135603,392.63687654875775,89.23284148787373,15,29.808307373218252,-119.3955710828687,0.0008105699601348284,-0.00135758383831877
"Umbria","42.983333333333","4","2","22","0","0","10","28","12.566666666667",376.6313230409835,421.24314034713734,32.73950213427199,16,483.49528952456376,765.8213214315515,-0.000916608770801737,0.0021388363339088497
"Valle d'Aosta","45.716666666667","4","0","11","0","0","02","15","7.3666666666667",48.718865504655696,208.71364194412718,23.962861890851016,17,-77.14276409511145,344.0463327194713,0.0018088502901584297,0.0006005098672978764
"Veneto","45.733333333333","186","51","457","30","20","05","744","11.85",322.21166739327714,207.4231961704986,168.76388831737668,18,202.06570689721346,-311.4624888435915,0.00009149959565215772,-0.0021593434039404048
"Trentino-Alto Adige","46.383333333333",18,2,22,0,0,"04",42,"11.416666666667",293.3773299582052,157.1527252669871,40.097537330863595,19,250.4049566885179,757.0936672903548,-0.0016651502266333013,-0.0041481796741354654
