"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","99","41","109","7","7","13","263",23.778003368716387,"13.833333333333",458.124498303482,481.1420501172729,0,458.12449830222283,481.1420501159708,1.014070032122173e-12,9.806401057742425e-13
"Basilicata","40.5","9","2","16","0","0","17","27",21.210504333915896,"16.5",631.7883003522712,615.6439377639663,1,631.9189755680316,618.9854133832022,1.228302095451772e-12,1.8355340928840127e-12
"Calabria","39","45","11","70","2","1","18","129",22.645935917684888,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516192,733.538573729618,1.5557107012767717e-12,1.3259707904111043e-12
"Campania","40.75","127","24","272","28","9","15","460",24.99647113069859,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209713843,596.0262438110308,1.2239599449208216e-12,1.0491331529413894e-12
"Emilia-Romagna","44.75","1784","247","1884","152","458","08","4525",35.67089347176504,"11",273.7755526126515,283.67879560051733,4,273.77555261190787,283.6787955995914,7.211061951399987e-13,5.791066258265516e-13
"Friuli Venezia Giulia","46.1","128","27","261","15","31","06","462",25.007321243651283,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534478643,179.05170714861592,3.8293619952294515e-13,8.855247895124432e-13
"Lazio","41.9","374","44","232","42","32","12","724",26.268357388706015,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268557963,505.91510398215735,1.0184434682804078e-12,8.102047065729887e-13
"Liguria","44.45","401","100","243","70","73","07","887",26.9381914030768,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.64188625729622,306.9898004637138,7.437903708525756e-13,4.1529190774539955e-13
"Lombardia","45.65","7285","924","4057","3488","1959","03","17713",51.0049137746285,"9.95",206.55634157536247,213.87614012509903,8,206.556341575003,213.8761401246507,3.4914889283554274e-13,2.799571951958287e-13
"Marche","43.316666666667","638","119","719","0","92","11","1568",29.224811398511584,"13",402.13851075247965,395.2363069295466,9,406.70166051460535,390.5837721781573,1.5863036145064013e-11,1.6181589401753625e-11
"Molise","41.6997","7","6","8","6","1","14","28",21.232717275387046,"14.6111",508.6091735149422,521.5939880792921,10,508.60917351358864,521.5939880778312,1.1376808342679989e-12,1.0541376175133277e-12
"Piemonte","45.25","1780","227","180","0","154","01","2341",31.27158974956374,"7.9166666666667",83.45401674780715,244.87483380474941,11,84.4561545204512,245.9181140253085,4.590557101114001e-13,7.374485137129349e-14
"Puglia","41.008611111111","156","30","176","2","19","16","383",24.559149710971433,"16.512777777778",630.2278965217012,575.7430948182009,12,630.1304270579608,573.2507183955257,1.2604425315976276e-12,1.027860291997161e-12
"Sardegna","40.05","42","7","83","0","2","20","134",22.696726269671693,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","100","29","138","12","3","19","282",23.912091651226184,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","427","160","704","17","22","09","1330",28.49591751073944,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359806086,392.6368765474992,9.801541691930901e-13,5.820702782063443e-13
"Umbria","42.983333333333","54","21","166","4","2","10","247",23.661279999712743,"12.566666666667",376.6313230409835,421.24314034713734,16,369.67000161107455,428.3408232048713,-2.2182956253141706e-11,-2.2591377726866035e-11
"Valle d'Aosta","45.716666666667","41","3","118","0","3","02","165",22.992446803269946,"7.3666666666667",48.718865504655696,208.71364194412718,17,46.86509071695801,206.78376102019325,3.743958268409564e-13,1.4071114065594692e-13
"Veneto","45.733333333333","646","195","2112","167","94","05","3214",33.20709807216106,"11.85",322.21166739327714,207.4231961704986,18,322.59676065798976,208.09457694494458,3.3652761566999033e-13,7.935365906042158e-13
"Trentino-Alto Adige","46.383333333333",220,40,542,13,16,"04",831,26.71560244383581,"11.416666666667",293.3773299582052,157.1527252669871,19,292.78235617424366,156.11543379685648,4.0573143803013245e-13,6.504860452366534e-13
