"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Emil-dece-0","deceduti","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0,0.899,-221.448,-430.074,-221.448,-430.074
"Emil-tera-0","terapia_intensiva","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.083,0.998,-225.602,-427.294,-225.602,-427.294
"Emil-tera-1","terapia_intensiva","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.107,0.031,-221.778,-435.061,-221.778,-435.061
"Emil-tera-2","terapia_intensiva","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.107,0.582,-221.119,-425.086,-221.119,-425.086
"Emil-rico-0","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.171,0.353,-230.088,-429.502,-230.088,-429.502
"Emil-rico-1","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.379,0.234,-217.294,-432.853,-217.294,-432.853
"Emil-rico-2","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.186,0.868,-225.273,-422.306,-225.273,-422.306
"Emil-rico-3","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.443,0.787,-225.932,-432.282,-225.932,-432.282
"Emil-rico-4","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.346,0.849,-216.964,-427.865,-216.964,-427.865
"Emil-rico-5","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.387,0.41,-229.758,-424.514,-229.758,-424.514
"Emil-rico-6","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.229,0.802,-217.623,-437.841,-217.623,-437.841
"Emil-rico-7","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.438,0.179,-220.789,-420.097,-220.789,-420.097
"Emil-rico-8","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.198,0.738,-230.418,-434.491,-230.418,-434.491
"Emil-rico-9","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.274,0.984,-212.808,-430.644,-212.808,-430.644
"Emil-rico-10","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.346,0.549,-229.429,-419.525,-229.429,-419.525
"Emil-rico-11","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.429,0.762,-226.263,-437.27,-226.263,-437.27
"Emil-rico-12","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.206,0.04,-216.634,-422.876,-216.634,-422.876
"Emil-rico-13","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.171,0.011,-234.243,-426.723,-234.243,-426.723
"Emil-rico-14","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.397,0.401,-213.138,-435.633,-213.138,-435.633
"Emil-rico-15","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.141,0.677,-224.944,-417.317,-224.944,-417.317
"Emil-rico-16","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.144,0.694,-230.747,-439.48,-230.747,-439.48
"Emil-rico-17","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.329,0.5,-212.478,-425.656,-212.478,-425.656
"Emil-rico-18","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.238,0.786,-233.914,-421.734,-233.914,-421.734
"Emil-rico-19","ricoverati_con_sintomi","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.385,0.77,-222.108,-440.051,-222.108,-440.051
"Emil-isol-0","isolamento_domiciliare","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.977,0.942,-216.303,-417.888,-216.303,-417.888
"Emil-isol-1","isolamento_domiciliare","Emilia Romagna","2020-02-26",-224.55,-430.431,-224.55,-430.431,0.623,0.806,-234.573,-431.711,-234.573,-431.711
