"id","category","denominazione_regione","date","_x","_y","s_x","s_y","b_x","b_y","c_x","c_y"
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-03",1010.38,897.139,0.412,0.771,1013.813,900.583,1013.813,900.583
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-03",1010.38,897.139,0.31,0.442,1011.547,905.04,1011.547,905.04
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-03",1010.38,897.139,0.235,0.338,1013.268,895.613,1013.268,895.613
"Abru-rico-3","ricoverati_con_sintomi","Abruzzo","2020-03-03",1010.38,897.139,0.359,0.322,1016.727,904.646,1016.727,904.646
"Abru-rico-4","ricoverati_con_sintomi","Abruzzo","2020-03-03",1010.38,897.139,0.478,0.437,1008.818,900.38,1008.818,900.38
"Abru-isol-0","isolamento_domiciliare","Abruzzo","2020-03-03",1010.38,897.139,0.582,0.828,1018.647,899.304,1018.647,899.304
"Basi-isol-0","isolamento_domiciliare","Basilicata","2020-03-03",2176.076,1795.534,0.801,0.594,2178.094,1797.493,2178.094,1797.493
"Cala-isol-0","isolamento_domiciliare","Calabria","2020-03-03",2221.402,2586.067,0.698,0.738,2222.647,2587.656,2222.647,2587.656
"Camp-rico-0","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.269,0.192,1450.713,1668.146,1450.713,1668.146
"Camp-rico-1","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.138,0.422,1445.9,1669.498,1445.9,1669.498
"Camp-rico-2","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.239,0.767,1451.947,1663.302,1451.947,1663.302
"Camp-rico-3","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.234,0.843,1449.478,1672.989,1449.478,1672.989
"Camp-rico-4","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.516,0.965,1447.134,1664.654,1447.134,1664.654
"Camp-rico-5","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.188,0.018,1456.76,1661.948,1456.76,1661.948
"Camp-rico-6","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.143,0.768,1444.665,1674.342,1444.665,1674.342
"Camp-rico-7","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.36,0.035,1448.368,1659.809,1448.368,1659.809
"Camp-rico-8","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.131,0.775,1454.291,1671.637,1454.291,1671.637
"Camp-rico-9","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.265,0.916,1442.321,1666.006,1442.321,1666.006
"Camp-rico-10","ricoverati_con_sintomi","Campania","2020-03-03",1447.394,1663.99,0.328,0.073,1457.995,1657.104,1457.995,1657.104
"Camp-isol-0","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.924,0.326,1448.243,1677.834,1448.243,1677.834
"Camp-isol-1","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.613,0.528,1443.556,1661.162,1443.556,1661.162
"Camp-isol-2","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.614,0.698,1455.526,1666.793,1455.526,1666.793
"Camp-isol-3","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.666,0.438,1441.086,1670.851,1441.086,1670.851
"Camp-isol-4","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.794,0.201,1453.182,1658.457,1453.182,1658.457
"Camp-isol-5","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.863,0.832,1453.056,1676.481,1453.056,1676.481
"Camp-isol-6","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.725,0.62,1438.742,1662.515,1438.742,1662.515
"Camp-isol-7","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.855,0.548,1461.574,1660.595,1461.574,1660.595
"Camp-isol-8","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.631,0.185,1443.43,1679.187,1443.43,1679.187
"Camp-isol-9","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.814,0.626,1444.79,1656.317,1444.79,1656.317
"Camp-isol-10","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.89,0.111,1459.105,1670.285,1459.105,1670.285
"Camp-isol-11","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.75,0.577,1437.507,1667.36,1437.507,1667.36
"Camp-isol-12","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.546,0.584,1454.417,1653.612,1454.417,1653.612
"Camp-isol-13","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.698,0.65,1451.821,1681.327,1451.821,1681.327
"Camp-isol-14","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.582,0.062,1439.977,1657.67,1439.977,1657.67
"Camp-isol-15","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.697,0.415,1460.339,1665.44,1460.339,1665.44
"Camp-isol-16","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.578,0.747,1439.851,1675.696,1439.851,1675.696
"Camp-isol-17","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.874,0.419,1449.603,1654.964,1449.603,1654.964
"Camp-isol-18","isolamento_domiciliare","Campania","2020-03-03",1447.394,1663.99,0.615,0.328,1457.87,1675.13,1457.87,1675.13
"Emil-dece-0","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.016,0.16,-221.477,-421.492,-221.477,-421.492
"Emil-dece-1","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.023,0.185,-217.27,-418.708,-217.27,-418.708
"Emil-dece-2","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.018,0.748,-217.602,-413.733,-217.602,-413.733
"Emil-dece-3","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.011,0.118,-221.128,-426.453,-221.128,-426.453
"Emil-dece-4","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.029,0.728,-213.152,-415.894,-213.152,-415.894
"Emil-dece-5","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.027,0.421,-221.68,-416.54,-221.68,-416.54
"Emil-dece-6","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.016,0.968,-217.02,-423.662,-217.02,-423.662
"Emil-dece-7","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.014,0.823,-213.479,-410.932,-213.479,-410.932
"Emil-dece-8","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.026,0.733,-225.605,-424.282,-225.605,-424.282
"Emil-dece-9","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.021,0.912,-212.829,-420.87,-212.829,-420.87
"Emil-dece-10","deceduti","Emilia Romagna","2020-03-03",-224.55,-430.431,0.014,0.543,-222.067,-411.532,-222.067,-411.532
