"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Abru-dece-0","deceduti","Abruzzo","2020-03-10",1010.38,897.139,0.053,0.41,1029.329,912.658,1029.329,912.658
"Abru-tera-0","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.102,0.002,1024.699,914.539,1024.699,914.539
"Abru-tera-1","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.111,0.077,1025.566,909.345,1025.566,909.345
"Abru-tera-2","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.065,0.56,1028.642,917.61,1028.642,917.61
"Abru-tera-3","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.115,0.605,1020.754,911.471,1020.754,911.471
"Abru-tera-4","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.078,0.248,1030.307,907.758,1030.307,907.758
"Abru-tera-5","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.089,0.17,1024.011,919.492,1024.011,919.492
"Abru-tera-6","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.134,0.279,1021.441,906.519,1021.441,906.519
"Abru-tera-7","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.14,0.059,1033.273,915.728,1033.273,915.728
"Abru-tera-8","terapia_intensiva","Abruzzo","2020-03-10",1010.38,897.139,0.128,0.559,1020.066,916.421,1020.066,916.421
"Abru-rico-0","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.24,0.915,1029.723,902.793,1029.723,902.793
"Abru-rico-1","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.398,0.675,1027.956,922.562,1027.956,922.562
"Abru-rico-2","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.477,0.985,1016.809,908.399,1016.809,908.399
"Abru-rico-3","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.345,0.712,1034.919,909.732,1034.919,909.732
"Abru-rico-4","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.224,0.405,1019.379,921.373,1019.379,921.373
"Abru-rico-5","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.403,0.888,1024.724,902.748,1024.724,902.748
"Abru-rico-6","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.181,0.192,1032.588,920.68,1032.588,920.68
"Abru-rico-7","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.454,0.55,1016.121,913.35,1016.121,913.35
"Abru-rico-8","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.467,0.881,1034.315,904.769,1034.315,904.769
"Abru-rico-9","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.543,0.392,1023.324,924.444,1023.324,924.444
"Abru-rico-10","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.438,0.986,1017.496,903.447,1017.496,903.447
"Abru-rico-11","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.171,0.685,1037.905,913.846,1037.905,913.846
"Abru-rico-12","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.595,0.63,1015.433,918.302,1015.433,918.302
"Abru-rico-13","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.577,0.505,1030.411,897.84,1030.411,897.84
"Abru-rico-14","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.164,0.455,1031.902,925.633,1031.902,925.633
"Abru-rico-15","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.206,0.751,1012.176,910.279,1012.176,910.279
"Abru-rico-16","ricoverati_con_sintomi","Abruzzo","2020-03-10",1010.38,897.139,0.533,0.434,1039.289,905.276,1039.289,905.276
"Abru-isol-0","isolamento_domiciliare","Abruzzo","2020-03-10",1010.38,897.139,0.685,0.943,1018.692,926.326,1018.692,926.326
